Full Name,Birthdate,Sex,Disability Type,Address,Contact No.,Status,Date Registered
Maria Santos,1990-03-12,F,Visual Impairment,Purok 2,09123456781,1,2019-03-12
Juan Dela Cruz,1983-07-25,M,Mobility Impairment,Purok 5,09987654321,1,2016-07-24
Ana Lopez,2006-11-03,F,Hearing Impairment,Purok 1,09124567892,1,2023-03-11
Mark Reyes,1997-05-18,M,Intellectual Disability,Purok 3,09198765432,0,2020-05-15
Joel Pascual,1965-09-22,M,Orthopedic Disability,Purok 4,09234567899,1,2019-09-29
Lorna Mateo,1977-02-08,F,Mobility Impairment,Purok 6,09356789123,1,2023-02-18
Ramon Villanueva,1970-10-14,M,Visual Impairment,Purok 2,09188992233,1,2022-06-22
Cathy Vergara,2002-12-30,F,Psychosocial Disability,Purok 4,09122334455,0,2022-10-10
Arnold Bautista,1994-04-06,M,Hearing Impairment,Purok 1,09155667788,1,2019-01-05
Jenny Rosales,1957-01-27,F,Orthopedic Disability,Purok 7,09224446677,1,2015-12-30
Leo Guzman,1985-08-19,M,Mobility Impairment,Purok 3,09456677889,1,2016-04-16
Marites Melendez,1973-06-11,F,Visual Impairment,Purok 5,09347788990,1,2018-08-03
Noel Cordero,1996-03-05,M,Speech Impairment,Purok 4,09199887766,1,2016-01-29
Shiela Castro,1991-09-01,F,Psychosocial Disability,Purok 6,09451234567,0,2023-12-13
Francis Dizon,1978-12-17,M,Hearing Impairment,Purok 7,09561234578,1,2021-11-14
Rhea Mendoza,1999-07-09,F,Mobility Impairment,Purok 3,09673456789,1,2020-12-02
Gabriel Salcedo,1966-05-29,M,Orthopedic Disability,Purok 8,09345678123,1,2023-02-22
Daisy Quinones,2004-10-02,F,Intellectual Disability,Purok 2,09546781234,0,2019-08-22
Jesus Almario,1952-11-21,M,Visual Impairment,Purok 1,09234567812,1,2015-01-05
Michelle Dorado,1993-04-18,F,Speech Impairment,Purok 9,09123455678,1,2023-07-22
